Measurement Days Radiation
1   0.0000000 0.000000e+00
2   0.3333333 0.000000e+00
3   0.3541667 1.642443e+02
4   0.3750000 2.047486e+02
5   0.3958333 4.638968e+02
6   0.4166667 5.103593e+02
7   0.4375000 4.562848e+02
8   0.4583333 8.369925e+02
9   0.4791667 8.369551e+02
10  0.5000000 6.988911e+02
11  0.5208333 9.878234e+02
12  0.5416667 8.150708e+02
13  0.5625000 1.326826e+03
14  0.5833333 7.078228e+02
15  0.6041667 8.526121e+02
16  0.6250000 1.336726e+03
17  0.6458333 1.054527e+03
18  0.6666667 1.208555e+03
19  0.6875000 8.762746e+02
20  0.7083333 9.305248e+02
21  0.7291667 6.097346e+02
22  0.7500000 4.904644e+02
23  0.7708333 4.910267e+02
24  0.7916667 1.595123e+02
25  0.8125000 1.234124e+02
26  0.8333333 1.405696e-13
27  0.8541667 0.000000e+00
28  0.8750000 0.000000e+00
29  0.8958333 0.000000e+00
30  0.9166667 0.000000e+00
31  0.9375000 0.000000e+00
32  0.9583333 0.000000e+00
33  0.9791667 0.000000e+00
34  1.0000000 0.000000e+00
35  1.0208333 0.000000e+00
36  1.0416667 0.000000e+00
37  1.0625000 0.000000e+00
38  1.0833333 0.000000e+00
39  1.1041667 0.000000e+00
40  1.1250000 0.000000e+00
41  1.1458333 0.000000e+00
42  1.1666667 0.000000e+00
43  1.1875000 0.000000e+00
44  1.2083333 0.000000e+00
45  1.2291667 0.000000e+00
46  1.2500000 0.000000e+00
47  1.2708333 0.000000e+00
48  1.2916667 0.000000e+00
49  1.3125000 0.000000e+00
50  1.3333333 0.000000e+00
51  1.3541667 1.188439e+02
52  1.3750000 3.538254e+02
53  1.3958333 4.657015e+02
54  1.4166667 5.070336e+02
55  1.4375000 5.102210e+02
56  1.4583333 5.210435e+02
57  1.4791667 6.639415e+02
58  1.5000000 6.653931e+02
59  1.5208333 7.938206e+02
60  1.5416667 8.013747e+02
61  1.5625000 1.195831e+03
62  1.5833333 1.265863e+03
63  1.6041667 6.065537e+02
64  1.6250000 1.257687e+03
65  1.6458333 7.625763e+02
66  1.6666667 8.240475e+02
67  1.6875000 9.118633e+02
68  1.7083333 8.316175e+02
69  1.7291667 8.146702e+02
70  1.7500000 6.041824e+02
71  1.7708333 3.171265e+02
72  1.7916667 1.792532e+02
73  1.8125000 1.323366e+02
74  1.8333333 3.425075e-13
75  1.8541667 0.000000e+00
76  1.8750000 0.000000e+00
77  1.8958333 0.000000e+00
78  1.9166667 0.000000e+00
79  1.9375000 0.000000e+00
80  1.9583333 0.000000e+00
81  1.9791667 0.000000e+00
82  2.0000000 0.000000e+00
83  2.0208333 0.000000e+00
84  2.0416667 0.000000e+00
85  2.0625000 0.000000e+00
86  2.0833333 0.000000e+00
87  2.1041667 0.000000e+00
88  2.1250000 0.000000e+00
89  2.1458333 0.000000e+00
90  2.1666667 0.000000e+00
91  2.1875000 0.000000e+00
92  2.2083333 0.000000e+00
93  2.2291667 0.000000e+00
94  2.2500000 0.000000e+00
95  2.2708333 0.000000e+00
96  2.2916667 0.000000e+00
97  2.3125000 0.000000e+00
98  2.3333333 0.000000e+00
99  2.3541667 1.395639e+02
100 2.3750000 2.388370e+02
101 2.3958333 4.250548e+02
102 2.4166667 4.647178e+02
103 2.4375000 7.437227e+02
104 2.4583333 5.239290e+02
105 2.4791667 6.466313e+02
106 2.5000000 7.319280e+02
107 2.5208333 8.115861e+02
108 2.5416667 6.770923e+02
109 2.5625000 1.386772e+03
110 2.5833333 1.099329e+03
111 2.6041667 9.593210e+02
112 2.6250000 8.971652e+02
113 2.6458333 1.214204e+03
114 2.6666667 5.339262e+02
115 2.6875000 7.941231e+02
116 2.7083333 7.455673e+02
117 2.7291667 5.193000e+02
118 2.7500000 6.776512e+02
119 2.7708333 5.192734e+02
120 2.7916667 2.780384e+02
121 2.8125000 1.434566e+02
122 2.8333333 2.038950e-12
123 2.8541667 0.000000e+00
124 2.8750000 0.000000e+00
125 2.8958333 0.000000e+00
126 2.9166667 0.000000e+00
127 2.9375000 0.000000e+00
128 2.9583333 0.000000e+00
129 2.9791667 0.000000e+00
130 3.0000000 0.000000e+00
131 3.0208333 0.000000e+00
132 3.0416667 0.000000e+00
133 3.0625000 0.000000e+00
134 3.0833333 0.000000e+00
135 3.1041667 0.000000e+00
136 3.1250000 0.000000e+00
137 3.1458333 0.000000e+00
138 3.1666667 0.000000e+00
139 3.1875000 0.000000e+00
140 3.2083333 0.000000e+00
141 3.2291667 0.000000e+00
142 3.2500000 0.000000e+00
143 3.2708333 0.000000e+00
144 3.2916667 0.000000e+00
145 3.3125000 0.000000e+00
146 3.3333333 0.000000e+00
147 3.3541667 1.388537e+02
148 3.3750000 3.051604e+02
149 3.3958333 2.541201e+02
150 3.4166667 5.078591e+02
151 3.4375000 8.168245e+02
152 3.4583333 5.955379e+02
153 3.4791667 7.517150e+02
154 3.5000000 1.065239e+03
155 3.5208333 1.247399e+03
156 3.5416667 1.343688e+03
157 3.5625000 9.953767e+02
158 3.5833333 1.169479e+03
159 3.6041667 9.833754e+02
160 3.6250000 8.960031e+02
161 3.6458333 9.906490e+02
162 3.6666667 8.104927e+02
163 3.6875000 6.470497e+02
164 3.7083333 8.202366e+02
165 3.7291667 5.855336e+02
166 3.7500000 3.896732e+02
167 3.7708333 3.846838e+02
168 3.7916667 3.549888e+02
169 3.8125000 1.339036e+02
170 3.8333333 7.891968e-13
171 3.8541667 0.000000e+00
172 3.8750000 0.000000e+00
173 3.8958333 0.000000e+00
174 3.9166667 0.000000e+00
175 3.9375000 0.000000e+00
176 3.9583333 0.000000e+00
177 3.9791667 0.000000e+00
178 4.0000000 0.000000e+00
179 4.0208333 0.000000e+00
180 4.0416667 0.000000e+00
181 4.0625000 0.000000e+00
182 4.0833333 0.000000e+00
183 4.1041667 0.000000e+00
184 4.1250000 0.000000e+00
185 4.1458333 0.000000e+00
186 4.1666667 0.000000e+00
187 4.1875000 0.000000e+00
188 4.2083333 0.000000e+00
189 4.2291667 0.000000e+00
190 4.2500000 0.000000e+00
191 4.2708333 0.000000e+00
192 4.2916667 0.000000e+00
193 4.3125000 0.000000e+00
194 4.3333333 0.000000e+00
195 4.3541667 1.405075e+02
196 4.3750000 1.910431e+02
197 4.3958333 3.193833e+02
198 4.4166667 6.381466e+02
199 4.4375000 4.575063e+02
200 4.4583333 7.265245e+02
201 4.4791667 5.457119e+02
202 4.5000000 1.020739e+03
203 4.5208333 8.425871e+02
204 4.5416667 5.861904e+02
205 4.5625000 8.958798e+02
206 4.5833333 1.380470e+03
207 4.6041667 1.132313e+03
208 4.6250000 6.989327e+02
209 4.6458333 9.524934e+02
210 4.6666667 7.703982e+02
211 4.6875000 5.886977e+02
212 4.7083333 8.364489e+02
213 4.7291667 5.619310e+02
214 4.7500000 5.978433e+02
215 4.7708333 3.050093e+02
216 4.7916667 1.802002e+02
217 4.8125000 1.665361e+02
218 4.8333333 4.281037e-12
219 4.8541667 0.000000e+00
220 4.8750000 0.000000e+00
221 4.8958333 0.000000e+00
222 4.9166667 0.000000e+00
223 4.9375000 0.000000e+00
224 4.9583333 0.000000e+00
225 4.9791667 0.000000e+00
226 5.0000000 0.000000e+00
227 5.0208333 0.000000e+00
228 5.0416667 0.000000e+00
229 5.0625000 0.000000e+00
230 5.0833333 0.000000e+00
231 5.1041667 0.000000e+00
232 5.1250000 0.000000e+00
233 5.1458333 0.000000e+00
234 5.1666667 0.000000e+00
235 5.1875000 0.000000e+00
236 5.2083333 0.000000e+00
237 5.2291667 0.000000e+00
238 5.2500000 0.000000e+00
239 5.2708333 0.000000e+00
240 5.2916667 0.000000e+00
241 5.3125000 0.000000e+00
242 5.3333333 0.000000e+00
